customer_id,first_purchase_date,last_purchase_date,total_orders,total_spend,avg_order_value,discount_usage_%,region,customer_segment,preferred_payment,recency_days,churn,customer_lifetime_days,spend_per_day,order_frequency,recency_group,high_value_customer,used_discount,aov_category,customer_age_days,R_score,F_score,M_score,RFM_score
CUST1028,2023-04-12,2023-05-18,15,55796,3719.73,10.0,East,Low Value,UPI,1041,Yes,36,1508.0,0.40540540540540543,Very Lost,0,1,Low,1077,1,4,2,142
CUST1029,2023-01-14,2023-09-10,17,22037,1296.29,5.0,West,Mid Value,UPI,926,Yes,239,91.82083333333334,0.07083333333333333,Very Lost,0,1,Low,1165,3,4,1,341
CUST1030,2023-04-19,2023-10-20,20,147957,7397.85,15.0,West,Low Value,Credit Card,886,Yes,184,799.7675675675675,0.10810810810810811,Very Lost,1,1,Medium,1070,4,5,4,454
CUST1031,2023-03-26,2024-01-06,12,177328,14777.33,5.0,West,High Value,Debit Card,808,No,286,617.8675958188153,0.041811846689895474,Very Lost,1,1,High,1094,5,3,5,535
CUST1032,2023-06-14,2023-09-27,20,199900,9995.0,15.0,East,High Value,Debit Card,909,Yes,105,1885.8490566037735,0.18867924528301888,Very Lost,1,1,Medium,1014,3,5,5,355
CUST1033,2023-05-05,2023-08-12,11,25620,2329.09,0.0,East,Low Value,Debit Card,955,Yes,99,256.2,0.11,Very Lost,0,0,Low,1054,3,3,1,331
CUST1034,2023-05-09,2024-02-03,5,171876,34375.2,10.0,North,High Value,Net Banking,780,No,270,634.2287822878229,0.01845018450184502,Very Lost,1,1,High,1050,5,1,5,515
CUST1035,2023-04-03,2023-08-21,16,154852,9678.25,10.0,North,Mid Value,Debit Card,946,Yes,140,1098.241134751773,0.11347517730496454,Very Lost,1,1,Medium,1086,3,4,4,344
CUST1036,2023-05-30,2023-08-28,15,95043,6336.2,5.0,North,Mid Value,Net Banking,939,Yes,90,1044.4285714285713,0.16483516483516483,Very Lost,0,1,Low,1029,3,4,3,343
CUST1037,2023-07-11,2024-02-07,12,169460,14121.67,25.0,East,Low Value,Debit Card,776,No,211,799.3396226415094,0.05660377358490566,Very Lost,1,1,High,987,5,3,5,535
CUST1038,2023-06-01,2023-09-20,8,112183,14022.88,20.0,North,Low Value,UPI,916,Yes,111,1001.6339285714286,0.07142857142857142,Very Lost,1,1,Medium,1027,3,2,3,323
CUST1039,2023-02-05,2023-06-24,8,15502,1937.75,15.0,South,Mid Value,Credit Card,1004,Yes,139,110.72857142857143,0.05714285714285714,Very Lost,0,1,Low,1143,2,2,1,221
CUST1040,2023-04-07,2024-01-30,5,19898,3979.6,0.0,East,Mid Value,Debit Card,784,No,298,66.54849498327759,0.016722408026755852,Very Lost,0,0,Low,1082,5,1,1,511
CUST1041,2023-01-01,2023-07-22,20,175964,8798.2,25.0,West,High Value,Credit Card,976,Yes,202,866.8177339901478,0.09852216748768473,Very Lost,1,1,Medium,1178,2,5,5,255
CUST1042,2023-05-14,2023-06-04,19,32823,1727.53,20.0,North,Low Value,UPI,1024,Yes,21,1491.9545454545455,0.8636363636363636,Very Lost,0,1,Low,1045,1,5,1,151
CUST1043,2023-06-25,2023-09-19,20,29346,1467.3,10.0,South,Low Value,Net Banking,917,Yes,86,337.3103448275862,0.22988505747126436,Very Lost,0,1,Low,1003,3,5,1,351
CUST1044,2023-03-31,2023-12-06,8,190924,23865.5,5.0,North,Mid Value,UPI,839,No,250,760.6533864541833,0.03187250996015936,Very Lost,1,1,High,1089,4,2,5,425
CUST1045,2023-03-21,2024-01-09,20,134906,6745.3,25.0,East,Mid Value,UPI,805,No,294,457.3084745762712,0.06779661016949153,Very Lost,1,1,Medium,1099,5,5,4,554
CUST1046,2023-06-15,2023-11-09,16,167113,10444.56,0.0,South,Low Value,Credit Card,866,No,147,1129.1418918918919,0.10810810810810811,Very Lost,1,0,Medium,1013,4,4,5,445
CUST1047,2023-03-08,2023-11-21,11,160158,14559.82,20.0,West,High Value,Net Banking,854,No,258,618.3706563706563,0.04247104247104247,Very Lost,1,1,High,1112,4,3,5,435
CUST1048,2023-03-10,2023-04-08,5,111554,22310.8,20.0,East,Low Value,Debit Card,1081,Yes,29,3718.4666666666667,0.16666666666666666,Very Lost,1,1,High,1110,1,1,3,113
CUST1049,2023-03-10,2023-11-25,16,128912,8057.0,0.0,West,Mid Value,UPI,850,No,260,493.91570881226056,0.06130268199233716,Very Lost,1,0,Medium,1110,4,4,4,444
CUST1050,2023-05-04,2024-01-24,6,50005,8334.17,10.0,West,Mid Value,UPI,790,No,265,187.98872180451127,0.022556390977443608,Very Lost,0,1,Medium,1055,5,2,2,522
CUST1051,2023-05-25,2023-12-02,15,68510,4567.33,0.0,East,Low Value,Credit Card,843,No,191,356.8229166666667,0.078125,Very Lost,0,0,Low,1034,4,4,2,442
CUST1052,2023-03-19,2023-08-29,11,198120,18010.91,10.0,East,High Value,UPI,938,Yes,163,1208.0487804878048,0.06707317073170732,Very Lost,1,1,High,1101,3,3,5,335
CUST1053,2023-01-29,2023-11-01,10,162893,16289.3,25.0,North,High Value,UPI,874,Yes,276,588.0613718411553,0.036101083032490974,Very Lost,1,1,High,1150,4,3,5,435
CUST1054,2023-07-19,2023-11-30,10,27137,2713.7,0.0,East,High Value,Credit Card,845,No,134,201.01481481481483,0.07407407407407407,Very Lost,0,0,Low,979,4,3,1,431
CUST1055,2023-05-31,2023-07-08,5,112538,22507.6,25.0,West,High Value,Debit Card,990,Yes,38,2885.5897435897436,0.1282051282051282,Very Lost,1,1,High,1028,2,1,3,213
CUST1056,2023-01-30,2023-10-31,14,188636,13474.0,15.0,West,Mid Value,Credit Card,875,Yes,274,685.949090909091,0.05090909090909091,Very Lost,1,1,Medium,1149,4,4,5,445
CUST1057,2023-07-04,2024-01-21,14,21611,1543.64,15.0,North,Mid Value,Credit Card,793,No,201,106.98514851485149,0.06930693069306931,Very Lost,0,1,Low,994,5,4,1,541
CUST1058,2023-01-23,2023-10-01,1,71319,38704.20375,10.0,East,Low Value,Net Banking,905,Yes,251,283.01190476190476,0.003968253968253968,Very Lost,0,1,High,1156,3,1,2,312
CUST1059,2023-01-28,2023-11-07,7,132448,18921.14,15.0,North,Mid Value,Credit Card,868,No,283,466.36619718309856,0.02464788732394366,Very Lost,1,1,High,1151,4,2,4,424
CUST1060,2023-07-08,2024-03-19,8,9197,1149.62,25.0,North,Low Value,Credit Card,735,No,255,35.92578125,0.03125,Very Lost,0,1,Low,990,5,2,1,521
CUST1061,2023-02-19,2023-04-15,13,56177,4321.31,20.0,West,Mid Value,Net Banking,1074,Yes,55,1003.1607142857143,0.23214285714285715,Very Lost,0,1,Low,1129,1,3,2,132
CUST1062,2023-05-24,2024-02-13,16,116418,7276.12,25.0,East,Mid Value,Debit Card,770,No,265,437.6616541353383,0.06015037593984962,Very Lost,1,1,Medium,1035,5,4,3,543
CUST1063,2023-05-05,2024-02-14,2,98554,38704.20375,10.0,South,Low Value,Credit Card,769,No,285,344.5944055944056,0.006993006993006993,Very Lost,0,1,High,1054,5,1,3,513
CUST1064,2023-02-16,2023-07-12,15,90640,6042.67,10.0,North,Low Value,UPI,986,Yes,146,616.5986394557823,0.10204081632653061,Very Lost,0,1,Low,1132,2,4,3,243
CUST1065,2023-03-16,2023-06-07,7,118523,16931.86,20.0,South,Low Value,UPI,1021,Yes,83,1410.9880952380952,0.08333333333333333,Very Lost,1,1,High,1104,1,2,3,123
CUST1066,2023-04-08,2023-06-02,15,62602,4173.47,20.0,South,Mid Value,Net Banking,1026,Yes,55,1117.892857142857,0.26785714285714285,Very Lost,0,1,Low,1081,1,4,2,142
CUST1067,2023-05-11,2023-06-27,1,9892,9892.0,25.0,West,High Value,Net Banking,1001,Yes,47,206.08333333333334,0.020833333333333332,Very Lost,0,1,Medium,1048,2,1,1,211
CUST1068,2023-05-07,2023-09-18,19,13770,724.74,10.0,West,Low Value,Debit Card,918,Yes,134,102.0,0.14074074074074075,Very Lost,0,1,Low,1052,3,5,1,351
CUST1069,2023-06-09,2023-07-07,11,128242,11658.36,10.0,East,Mid Value,Credit Card,991,Yes,28,4422.137931034483,0.3793103448275862,Very Lost,1,1,Medium,1019,2,3,4,234
CUST1070,2023-01-22,2023-05-14,18,157327,8740.39,25.0,East,Low Value,Credit Card,1045,Yes,112,1392.274336283186,0.1592920353982301,Very Lost,1,1,Medium,1157,1,5,4,154
CUST1071,2023-06-20,2023-09-28,12,150845,12570.42,10.0,West,High Value,Debit Card,908,Yes,100,1493.5148514851485,0.1188118811881188,Very Lost,1,1,Medium,1008,3,3,4,334
CUST1072,2023-03-24,2023-11-01,17,191413,11259.59,10.0,West,Mid Value,Credit Card,874,Yes,222,858.3542600896861,0.07623318385650224,Very Lost,1,1,Medium,1096,4,4,5,445
CUST1073,2023-03-04,2023-08-22,2,49378,24689.0,5.0,East,Low Value,UPI,945,Yes,171,287.0813953488372,0.011627906976744186,Very Lost,0,1,High,1116,3,1,2,312
CUST1074,2023-03-01,2023-06-24,4,31095,7773.75,0.0,West,Mid Value,Net Banking,1004,Yes,115,268.0603448275862,0.034482758620689655,Very Lost,0,0,Medium,1119,2,1,1,211
CUST1075,2023-07-18,2024-04-06,19,139123,7322.26,5.0,South,Mid Value,Debit Card,717,No,263,526.9810606060606,0.07196969696969698,Very Lost,1,1,Medium,980,5,5,4,554
CUST1076,2023-07-11,2023-07-28,12,92766,7730.5,5.0,West,High Value,Credit Card,970,Yes,17,5153.666666666667,0.6666666666666666,Very Lost,0,1,Medium,987,2,3,3,233
CUST1077,2023-05-25,2023-10-26,13,3577,275.15,5.0,West,Mid Value,UPI,880,Yes,154,23.07741935483871,0.08387096774193549,Very Lost,0,1,Low,1034,4,3,1,431
CUST1078,2023-01-28,2023-05-02,5,9350,1870.0,0.0,South,High Value,Credit Card,1057,Yes,94,98.42105263157895,0.05263157894736842,Very Lost,0,0,Low,1151,1,1,1,111
CUST1079,2023-06-03,2023-10-05,10,149025,14902.5,15.0,East,Mid Value,Credit Card,901,Yes,124,1192.2,0.08,Very Lost,1,1,High,1025,3,3,4,334
CUST1080,2023-06-23,2023-08-26,11,8834,803.09,15.0,West,Low Value,UPI,941,Yes,64,135.90769230769232,0.16923076923076924,Very Lost,0,1,Low,1005,3,3,1,331
CUST1081,2023-04-09,2023-10-25,16,21316,1332.25,5.0,South,Low Value,Credit Card,881,Yes,199,106.58,0.08,Very Lost,0,1,Low,1080,4,4,1,441
CUST1082,2023-04-17,2023-12-31,10,63538,6353.8,5.0,East,Mid Value,UPI,814,No,258,245.32046332046332,0.03861003861003861,Very Lost,0,1,Low,1072,5,3,2,532
CUST1083,2023-04-25,2024-01-14,7,113359,16194.14,15.0,West,Low Value,Credit Card,800,No,264,427.76981132075474,0.026415094339622643,Very Lost,1,1,High,1064,5,2,3,523
CUST1084,2023-04-29,2023-12-04,13,89453,6881.0,15.0,West,Low Value,Credit Card,841,No,219,406.6045454545455,0.05909090909090909,Very Lost,0,1,Medium,1060,4,3,3,433
CUST1085,2023-03-13,2023-04-13,17,140079,8239.94,20.0,South,Low Value,Net Banking,1076,Yes,31,4377.46875,0.53125,Very Lost,1,1,Medium,1107,1,4,4,144
CUST1086,2023-06-21,2023-09-05,7,175585,25083.57,5.0,West,Mid Value,Net Banking,931,Yes,76,2280.3246753246754,0.09090909090909091,Very Lost,1,1,High,1007,3,2,5,325
CUST1087,2023-02-19,2023-07-30,2,185676,38704.20375,0.0,East,High Value,Debit Card,968,Yes,161,1146.148148148148,0.012345679012345678,Very Lost,1,0,High,1129,2,1,5,215
CUST1088,2023-07-14,2023-12-30,9,91578,10175.33,0.0,South,High Value,Debit Card,815,No,169,538.6941176470589,0.052941176470588235,Very Lost,0,0,Medium,984,5,3,3,533
CUST1089,2023-01-22,2023-03-23,12,16050,1337.5,10.0,East,Low Value,Credit Card,1097,Yes,60,263.11475409836066,0.19672131147540983,Very Lost,0,1,Low,1157,1,3,1,131
CUST1090,2023-02-28,2023-10-13,15,15363,1024.2,20.0,East,unknown,UPI,893,Yes,227,67.38157894736842,0.06578947368421052,Very Lost,0,1,Low,1120,4,4,1,441
CUST1091,2023-05-10,2023-06-16,16,133383,8336.44,25.0,West,High Value,Credit Card,1012,Yes,37,3510.0789473684213,0.42105263157894735,Very Lost,1,1,Medium,1049,2,4,4,244
CUST1092,2023-06-19,2023-10-23,8,73017,9127.12,25.0,West,Low Value,Debit Card,883,Yes,126,574.9370078740158,0.06299212598425197,Very Lost,0,1,Medium,1009,4,2,2,422
CUST1093,2023-07-16,2023-12-17,13,47445,3649.62,0.0,West,High Value,Net Banking,828,No,154,306.0967741935484,0.08387096774193549,Very Lost,0,0,Low,982,5,3,2,532
CUST1094,2023-07-13,2024-04-30,4,34681,8670.25,25.0,North,Low Value,UPI,693,No,292,118.36518771331058,0.013651877133105802,Very Lost,0,1,Medium,985,5,1,1,511
CUST1095,2023-02-13,2023-06-23,14,116455,8318.21,5.0,West,High Value,Credit Card,1005,Yes,130,888.9694656488549,0.10687022900763359,Very Lost,1,1,Medium,1135,2,4,3,243
CUST1096,2023-05-26,2023-06-30,13,32706,2515.85,5.0,South,Mid Value,Credit Card,998,Yes,35,908.5,0.3611111111111111,Very Lost,0,1,Low,1033,2,3,1,231
CUST1097,2023-04-19,2023-05-26,7,118271,16895.86,5.0,South,High Value,Net Banking,1033,Yes,37,3112.3947368421054,0.18421052631578946,Very Lost,1,1,High,1070,1,2,3,123
CUST1098,2023-01-02,2023-10-20,6,52945,8824.17,20.0,West,Mid Value,UPI,886,Yes,291,181.31849315068493,0.02054794520547945,Very Lost,0,1,Medium,1177,4,2,2,422
CUST1099,2023-07-13,2024-03-21,16,155314,9707.12,25.0,West,Mid Value,UPI,733,No,252,613.8893280632411,0.06324110671936758,Very Lost,1,1,Medium,985,5,4,4,544
CUST1100,2023-04-14,2023-05-28,16,35739,2233.69,15.0,South,High Value,Net Banking,1031,Yes,44,794.2,0.35555555555555557,Very Lost,0,1,Low,1075,1,4,1,141
CUST1101,2023-04-26,2023-09-05,8,168675,21084.38,25.0,South,High Value,UPI,931,Yes,132,1268.233082706767,0.06015037593984962,Very Lost,1,1,High,1063,3,2,5,325
CUST1102,2023-07-11,2023-08-17,12,107281,8940.08,0.0,South,Low Value,Credit Card,950,Yes,37,2823.184210526316,0.3157894736842105,Very Lost,1,0,Medium,987,3,3,3,333
CUST1103,2023-01-19,2023-05-10,5,192962,38592.4,5.0,North,High Value,Credit Card,1049,Yes,111,1722.875,0.044642857142857144,Very Lost,1,1,High,1160,1,1,5,115
CUST1104,2023-05-12,2023-06-16,10,43304,4330.4,5.0,West,Low Value,UPI,1012,Yes,35,1202.888888888889,0.2777777777777778,Very Lost,0,1,Low,1047,2,3,2,232
CUST1105,2023-02-08,2023-08-16,7,23936,3419.43,5.0,East,High Value,Net Banking,951,Yes,189,125.97894736842105,0.03684210526315789,Very Lost,0,1,Low,1140,3,2,1,321
CUST1106,2023-07-19,2024-01-21,12,43744,3645.33,0.0,West,High Value,Net Banking,793,No,186,233.92513368983958,0.06417112299465241,Very Lost,0,0,Low,979,5,3,2,532
CUST1107,2023-06-25,2023-07-17,8,161821,20227.62,10.0,South,High Value,Debit Card,981,Yes,22,7035.695652173913,0.34782608695652173,Very Lost,1,1,High,1003,2,2,5,225
CUST1108,2023-03-02,2023-06-23,6,96133,16022.17,25.0,North,Low Value,Net Banking,1005,Yes,113,843.2719298245614,0.05263157894736842,Very Lost,0,1,High,1118,2,2,3,223
CUST1109,2023-06-01,2023-07-26,17,91074,5357.29,5.0,North,High Value,UPI,972,Yes,55,1626.3214285714287,0.30357142857142855,Very Lost,0,1,Low,1027,2,4,3,243
CUST1110,2023-07-10,2024-03-27,11,193047,17549.73,15.0,East,Low Value,Debit Card,727,No,261,736.8206106870228,0.04198473282442748,Very Lost,1,1,High,988,5,3,5,535
CUST1111,2023-06-05,2023-06-26,6,140770,23461.67,15.0,West,Low Value,UPI,1002,Yes,21,6398.636363636364,0.2727272727272727,Very Lost,1,1,High,1023,2,2,4,224
CUST1112,2023-01-31,2023-03-14,17,194511,11441.82,15.0,North,Low Value,Debit Card,1106,Yes,42,4523.511627906977,0.3953488372093023,Very Lost,1,1,Medium,1148,1,4,5,145
CUST1113,2023-04-30,2023-07-13,12,171150,14262.5,25.0,South,High Value,Net Banking,985,Yes,74,2282.0,0.16,Very Lost,1,1,High,1059,2,3,5,235
CUST1114,2023-02-07,2023-07-13,9,111660,12406.67,10.0,South,Mid Value,Debit Card,985,Yes,156,711.2101910828026,0.05732484076433121,Very Lost,1,1,Medium,1141,2,3,3,233
CUST1115,2023-03-25,2023-05-26,19,99538,5238.84,0.0,South,Low Value,Credit Card,1033,Yes,62,1579.968253968254,0.30158730158730157,Very Lost,0,0,Low,1095,1,5,3,153
CUST1116,2023-06-15,2024-01-05,6,60709,10118.17,5.0,South,High Value,Debit Card,809,No,204,296.14146341463413,0.02926829268292683,Very Lost,0,1,Medium,1013,5,2,2,522
CUST1117,2023-02-14,2023-04-23,11,80769,7342.64,5.0,South,Mid Value,Debit Card,1066,Yes,68,1170.5652173913043,0.15942028985507245,Very Lost,0,1,Medium,1134,1,3,2,132
CUST1118,2023-06-17,2023-07-16,5,195364,38704.20375,15.0,East,Low Value,UPI,982,Yes,29,6512.133333333333,0.16666666666666666,Very Lost,1,1,High,1011,2,1,5,215
CUST1119,2023-07-19,2023-12-11,5,87224,17444.8,0.0,North,High Value,Net Banking,834,No,145,597.4246575342465,0.03424657534246575,Very Lost,0,0,High,979,4,1,3,413
CUST1120,2023-04-12,2023-12-15,6,131011,21835.17,25.0,South,Mid Value,Credit Card,830,No,247,528.2701612903226,0.024193548387096774,Very Lost,1,1,High,1077,5,2,4,524
CUST1121,2023-03-26,2023-04-14,11,151446,13767.82,25.0,South,Low Value,Net Banking,1075,Yes,19,7572.3,0.55,Very Lost,1,1,Medium,1094,1,3,4,134
CUST1122,2023-05-27,2023-10-09,9,177923,19769.22,0.0,South,Low Value,Credit Card,897,Yes,135,1308.2573529411766,0.0661764705882353,Very Lost,1,0,High,1032,3,3,5,335
CUST1123,2023-01-02,2023-01-31,12,117664,9805.33,15.0,North,Mid Value,Debit Card,1148,Yes,29,3922.133333333333,0.4,Very Lost,1,1,Medium,1177,1,3,3,133
CUST1124,2023-07-06,2023-11-29,6,90514,15085.67,5.0,South,Mid Value,UPI,846,No,146,615.7414965986394,0.04081632653061224,Very Lost,0,1,High,992,4,2,3,423
CUST1125,2023-02-09,2023-07-09,2,45898,22949.0,5.0,South,High Value,Net Banking,989,Yes,150,303.96026490066225,0.013245033112582781,Very Lost,0,1,High,1139,2,1,2,212
CUST1126,2023-05-09,2023-06-23,1,123687,38704.20375,20.0,South,Mid Value,UPI,1005,Yes,45,2688.8478260869565,0.021739130434782608,Very Lost,1,1,High,1050,2,1,4,214
CUST1127,2023-05-03,2023-07-12,18,58510,3250.56,10.0,East,High Value,Credit Card,986,Yes,70,824.0845070422536,0.2535211267605634,Very Lost,0,1,Low,1056,2,5,2,252
CUST1128,2023-05-07,2023-11-28,4,162150,38704.20375,25.0,North,High Value,UPI,847,No,205,787.1359223300971,0.019417475728155338,Very Lost,1,1,High,1052,4,1,5,415
CUST1129,2023-04-01,2023-06-05,17,39124,2301.41,15.0,West,Mid Value,Credit Card,1023,Yes,65,592.7878787878788,0.25757575757575757,Very Lost,0,1,Low,1088,1,4,1,141
CUST1130,2023-05-12,2023-05-27,3,166222,38704.20375,25.0,East,Low Value,UPI,1032,Yes,15,10388.875,0.1875,Very Lost,1,1,High,1047,1,1,5,115
CUST1131,2023-02-07,2023-08-05,1,40124,38704.20375,15.0,West,Mid Value,Debit Card,962,Yes,179,222.9111111111111,0.005555555555555556,Very Lost,0,1,High,1141,2,1,1,211
CUST1132,2023-01-11,2023-08-05,7,149881,21411.57,15.0,North,High Value,Credit Card,962,Yes,206,724.0628019323672,0.033816425120772944,Very Lost,1,1,High,1168,2,2,4,224
CUST1133,2023-04-18,2023-05-24,9,72386,8042.89,25.0,North,Low Value,Credit Card,1035,Yes,36,1956.3783783783783,0.24324324324324326,Very Lost,0,1,Medium,1071,1,3,2,132
CUST1134,2023-07-09,2024-02-04,10,124330,12433.0,5.0,West,Low Value,Net Banking,779,No,210,589.2417061611375,0.04739336492890995,Very Lost,1,1,Medium,989,5,3,4,534
CUST1135,2023-04-14,2023-05-05,19,31912,1679.58,25.0,North,Low Value,Credit Card,1054,Yes,21,1450.5454545454545,0.8636363636363636,Very Lost,0,1,Low,1075,1,5,1,151
CUST1136,2023-01-09,2023-06-01,6,126460,21076.67,0.0,South,Mid Value,Credit Card,1027,Yes,143,878.1944444444445,0.041666666666666664,Very Lost,1,0,High,1170,1,2,4,124
CUST1137,2023-03-03,2023-11-20,9,109724,12191.56,5.0,North,High Value,Credit Card,855,No,262,417.20152091254755,0.034220532319391636,Very Lost,1,1,Medium,1117,4,3,3,433
CUST1138,2023-02-20,2023-11-22,7,91315,13045.0,10.0,South,Mid Value,UPI,853,No,275,330.8514492753623,0.025362318840579712,Very Lost,0,1,Medium,1128,4,2,3,423
CUST1139,2023-03-25,2023-05-29,3,89952,29984.0,10.0,North,Low Value,Debit Card,1030,Yes,65,1362.909090909091,0.045454545454545456,Very Lost,0,1,High,1095,1,1,3,113
CUST1140,2023-04-09,2023-11-08,20,30665,1533.25,25.0,South,High Value,UPI,867,No,213,143.29439252336448,0.09345794392523364,Very Lost,0,1,Low,1080,4,5,1,451
CUST1141,2023-04-13,2023-09-24,2,157006,38704.20375,25.0,South,High Value,Credit Card,912,Yes,164,951.5515151515151,0.012121212121212121,Very Lost,1,1,High,1076,3,1,4,314
CUST1142,2023-04-02,2023-11-26,13,18564,1428.0,20.0,East,High Value,UPI,849,No,238,77.67364016736401,0.05439330543933055,Very Lost,0,1,Low,1087,4,3,1,431
CUST1143,2023-03-04,2023-09-06,5,109676,21935.2,25.0,South,Mid Value,Net Banking,930,Yes,186,586.5026737967914,0.026737967914438502,Very Lost,1,1,High,1116,3,1,3,313
CUST1144,2023-01-16,2023-04-28,6,117156,19526.0,20.0,West,Mid Value,UPI,1061,Yes,102,1137.4368932038835,0.05825242718446602,Very Lost,1,1,High,1163,1,2,3,123
